event,date,person,quote
2023 - NBA FINALS: HEAT VS. NUGGETS,June 8,AARON GORDON,"Yeah, they complement each other very well. They are both three-level scorers. They can both use the pick-and-roll. One setting it, one coming off of it, vice versa."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 16,JAYSON TATUM,"It brings me back to my earlier years. I would talk to guys in my draft class, and they were losing 15 games in a row. And me, I'm fighting for the 1 seed, and I'm on a veteran team that's trying to win."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 11,KYRIE IRVING,"I mean, Games 1 and 2 is about our total team effort, how we can control a lot of the mistakes we made out there, whether it be turnovers, obviously the missed shots are going to happen. That's a basketball game."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,NIKOLA JOKIC,"I cannot tell you that, my friend, because I think they are looking at this, too. They're a really intelligent team. They have really smart players, Jimmy, Bam, Kyle, who can read the moment and read the game. They can just kind of morph in some different zones, if that makes any sense."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 12,JOE MAZZULLA,Just be a day-to-day thing to see how he is tomorrow and the next day.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 1,BAM ADEBAYO,"Oh, okay. I mean, that's what -- that's what Spo wants us to do. He wants us to be aggressive. He wants us to be assertive. He wants us to make things happen. He wants us to create. And you know with that responsibility, we have to be smart with it. And I feel like all the shots that me and Jimmy took were good shots. We missed a couple. I feel like my teammates missed a couple."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 16,JOE MAZZULLA,"I mean, it just depends. I think they played a well-balanced offensive game from everybody. The game is connected, and so if you are not doing one thing well, going to something different may not always stop that."
2023 - NBA DRAFT,June 22,JALEN HOOD-SCHIFINO,"Yeah, for one, thank you to the Lakers' organization for obviously selecting me. But to my teammates and the fans there, they're getting a big-time player and even better person. Just somebody who is going to bring it every day, push the people around me. Just someone that is going to work hard."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 1,MICHAEL MALONE,"Guys made plays for them, they got stops. I thought we did a good job against their zone early in the game. I thought in that fourth quarter we got very stagnant against that zone and it kind of bothered us a little bit. So we've got to be better there."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 14,DANTE EXUM,"I think also it's getting defensive stops. That helps it a lot. I think my main focus when I go in, even when they do score, All right, let's go get it, try and push it during those times. It's easy to push when you have an advantage."
2023 - WNBA DRAFT,April 10,CATHY ENGELBERT,"Really proud of what our owners -- this is something, the owners actually appoint and pay the coaches, that our owners have stepped up to do. I think it's something we have our eye on, we had our eye on as soon as I came into the league."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 12,NIKOLA JOKIC,"Sport is something that always in Serbia was something that put in front of us everybody, even like 10, 20 years ago, whatever, but now when we have Djokovic who won, probably the best ever. For us he's the best ever of course, and now we have our NBA championship, and I think it's a really good moment to be a Serbian."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JEFF GREEN,It's like four or five.
2022 - NBA DRAFT,June 23,ISMAEL KAMAGATE,"More exciting, more motivation to be better day after day. Yeah, you get many players who get drafted late and make a good career. I'm not worried about this."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 6,ADAM SILVER,"The last part of your question, on changing those incentives in terms of draft picks, that's something we continue to look at. I think just more generally, incentives for teams are something that we continue to examine, modify, calibrate and look for ways to better align incentives. All of that goes to whether it's the Play-In Tournament, changes in the Draft Lottery, changes in the collective bargaining agreement. I think that's an ongoing effort."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,KYLE LOWRY,"I think as a group, I think we've found ways that we've gotten great looks. I think we've found a little bit of a rhythm offensively. We haven't made all the shots."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,KENTAVIOUS CALDWELL-POPE,Also just taking our time and trying to get this win.
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 6,LUKA DONCIC,"I don't remember. Just either you lose or you win. First to four, we've got to focus on the next game."
2023 - NBA FINALS: HEAT VS. NUGGETS,May 26,MICHAEL MALONE,"In the moment, it's us, our coaching staff, our players. But this was for all Nuggets. That was what was really cool about it."
2024 - NBA DRAFT,June 26,ROB DILLINGHAM,"It's a blessing, for real. It shows that they trust me and they obviously are trusting in me to develop. If they trust in me, that's all I needed. I feel that's all I needed from any team. Them showing me is even more of a blessing. I get to play with way better players and learn from them."
2024 - NBA FINALS: CELTICS VS. MAVERICKS,June 5,DWIGHT POWELL,"Yeah, it feels like a whole different era to me, a different time. It was in a lot of respects. Happy to be where I am. It's been a great journey. To be here now is a really special experience."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 4,ERIK SPOELSTRA,"I wouldn't say that it was a lineup change. I get what you're saying. We just went back to our original lineup. We went with this lineup for 14 games. I didn't have the foresight, I didn't. That's on me."
2023 - NBA FINALS: HEAT VS. NUGGETS,May 31,HAYWOOD HIGHSMITH,"I've heard that. Yeah, I don't know. Just my father's last name, as well. I don't know. I guess I've got like H's in my family or something."
