event,date,person,quote,Positive?,Negative?,Team?,Individual?
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,JAYSON TATUM,The main goal for us was to win a championship. We weren't -- we didn't care who got Finals MVP. I know that I need him through this journey and he needs me.,,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,JAYSON TATUM,"So, you know, it was great to see him have that moment and share that moment with him. I'm extremely happy for him. Well-deserved. That was big-time. He earned that.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"Man, from day one when I came in, my mindset was I'm going to give everything to this team and this city to try to win a championship here because I knew these guys have already been so close.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"Yeah, once I got hurt, it was a heartbreaking moment for me. I didn't want to accept the truth. It was like, no way it happened, right.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"But, yeah, tonight was the night. I was like, listen, I'm going to give it everything I have. And, yeah, I'm just super happy to be a part of this and give something to the team, and I'm super thankful for the support I've gotten from the fans. And tonight the arena was electric. It's been unbelievable playing in front of these fans.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"You know what, like since last game, I've been thinking about, like, how can I get my body ready for next game. Like, no matter how it is. And today I was like, I'm going to try everything possible to get out there.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"So from this morning, I was preparing myself that I will go out there. And, yeah, the medical staff was, like, unbelievable support for me and got me back out there somehow.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"And, man, I'm super thankful for them. And, yeah, I gave everything I could. I gave everything I could. And, man, it feels great to be a champion.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"Yeah, we have like a super-composed team. We don't have any like, loud, like, guys. Like, we're super confident but also, like, down-to-earth people in this organization and in this roster.",,,,
2024 - NBA FINALS: CELTICS VS. MAVERICKS,17-Jun,KRISTAPS PORZINGIS,"Everybody had the mindset of, like, we are going to do whatever it takes, each of us individually, to get the job done. Like, we want to win a championship for this city.",,,,
