event,date,person,quote
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Yeah, just like I said, just happy for me and happy how I've been sticking with it and proud of the progress I've been making."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"I talk to him here and there and I talk to him when I see him, but just want to play hard for a guy like that. So I appreciate everything."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"I am feeling better now. Definitely a lot better. I feel like I've almost got it out of my system, so definitely feeling a lot better than I did the last two games."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Yeah, man, just a couple of these meds and I'll be all right."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Not much of a fever. It was more just like cold chills, body aches, heavy, heavy migraine. I was just laying down pretty much in the dark the whole entire game."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Like I said, this is the time of year everybody is dealing with something, so nobody really cares what you're dealing with."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Yeah, I definitely can feel that. I can definitely feel it's that type of energy when I'm on the court. Just the attention of detail, that's what it takes to I feel like to get a championship at this time of year."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Guys are honing in on everybody and doing whatever they can. That's on me to make adjustments and find ways to be effective, as well."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"It feels great. Anywhere I can contribute, you know what I mean, and impact the game, I'm going to do it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Like I said, I might not have really been too effective offensively in the game, but at a time I needed to knock one down, I did it. This is definitely more of a series that they've got two of the best players and scorers in the league right now, so this is definitely a defensive series for me to lock in, and I'll take offense when I can."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Like you said, they've been preparing us for these type of moments, and just the leadership has been amazing. No matter how -- I think that's why we always feel like we have a great chance of winning these games, just because no matter how the game is going, they keep us mentally in check."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"It's hard not to listen to guys like that who's been there before. They've just been bringing great, positive energy, and we've just been feeding off that as a team, so it's been good."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"Definitely do. Like I said, it's a sign of respect, and I appreciate it. Like I said, it's my job to make adjustments and find ways to be effective. That's the cool thing about the Playoffs, though, is you get different looks and it definitely challenges your IQ and your adjustments. It's pretty cool."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"It's a lot more strategic than it is the regular season, so it's a different type of game and this is the type of stuff you learn from, so I'm enjoying it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,"I just think that we just grind. We just try to get it done. Kind of got like our own different style. There's a lot of different guards from different places that like to be fast, that type of stuff."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,CALEB MARTIN,But I feel like we're kind of blue collar. We just try to get it done however we get it done. That's kind of what I take from it.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Honesty isn't critical, so I don't view it as being critical. I think it was an honest assessment of the game. Before I came out and spoke to you guys, I had the same conversation with our players. Never once will I come into a press conference and say something to you that I haven't spoken to our team about."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Our players owned it. I asked them after the game, Why did we lose tonight? And they told me we didn't play hard enough. They told me we weren't disciplined enough. It wasn't critical by any nature. It was an honest assessment."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"It's not just one player right now. Whether it's Michael, Jamal, Aaron, Pope, Nikola, whoever, we have to be a lot more disciplined, a lot more urgent."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"If you really want to simplify the first two games, in the first three quarters we have dominated both games. The Miami Heat are dominating the fourth quarter. They're averaging 33 points a game in the fourth quarter, shooting over 60 percent from the field in the fourth quarter and over 50 percent from three."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,We're up eight going into the fourth quarter in Game 2. You're up 21 going into the fourth quarter of Game 1. They end up on a 15-2 run in the fourth quarter to take control of that game.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Yeah, I think it's important to remind us that just because we're playing at home and we're undefeated, you just can't show up and think that's going to continue."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Coming off of a four-game sweep against the Lakers, and that was a very hard-fought sweep. They were in every game. We had to fight for every game. So you have to find a way to turn a negative into a positive."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"We had a really good film session this morning. I gave an opportunity for everybody on our team to speak and talk about what they saw on the film. It was a very honest conversation. Guys owned what they needed to own. We have to learn from Game 2 to use it to our advantage, to your point."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Well, I've got a great stat. I think quarters 1 through 3 after two games, we had around 19 percent of our possessions were at the end of the shot clock, last seven seconds."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"In the fourth quarter of Game 1 and 2, that jumps from 19 percent to 32 percent. Which means we're taking the ball out of the net, we're walking it up, we're playing against the zone and we're getting caught playing in really late-clock situations, which is hurting our offense."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Obviously what I can do is to try to help our guys defensively, because when we get stops and we get out and run, we've had control of the first three quarters two games in a row. Making sure we have the right lineups in. And offensively, just kind of giving our guys as many ways that they can attack that zone as possible where we can be effective and at least produce the right shot."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"Whether we make it or not, that's going to be on our players. But trying to make sure we're producing the right shots against that zone, which has given us some trouble in the fourth quarter."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"I showed 17 clips this morning. Every clip was a discipline clip, if you will, where our discipline, whether it was game plan, whether it was personnel, whether it was defending without fouling, whatever it may be, 17 clips added up to over 40 points in Game 2. That, to me, is staggering."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"I haven't seen indecision. I've seen, once again, a lack of communication and discipline. They played zone not just in the fourth quarter, and we've been fine against it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"But I think once that game kind of -- you allow a 15-2 run to start that fourth quarter and you've got Nikola out, you've got to get Nikola right back in. Now it becomes a different ball game."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"We want to play fast they want to play slow. When you're not getting stops, advantage Miami Heat because now they have their 2-2-1 press back to the zone. And as I mentioned before, we're playing way too slow to try to attack that, which is forcing a lot of late-clock situations for us."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,MICHAEL MALONE,"We've got a lot of guys that have been in big games, playoff tested, so I don't think any of it is our guys getting tight. I think it's just not adhering to the discipline that the game needs."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"Yeah. I think being at home in general, sleeping in your bed, being able to do things at home that you're comfortable with, you know, getting home-cooked meals, all that, that benefits it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"But the benefit of the crowd is no matter what, they are going to be behind you. They are going to give you energy. You know, if the other team is on the run, they are going to give you a little boost, right. If you're on a run, there's going to be a crazy boost."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"I think just the overall, you know, energy for your team and your group, it will give you a little bit of a lift, but it won't win you the game because you've still got to go out there and hoop."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"But it will give you some type of, you know, good feeling."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"I will not tell you exactly what happened, but it was a great conversation. It was just making sure that I was healthy for an opportunity, if we got on a run like we've been and I think that's the biggest thing about it, is the opportunity to be healthy, to help the group, right, no matter what it is. And you know, making it into the Finals, I'm as healthy as I've been in a while and I feel good."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,It was a great conversation. It was a great time. Felt fantastic. Having a guy like Pat having your back is a good feeling. It's a good guy to have back there.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"No, I don't. I'm being honest with you, I don't. I mean, everybody knows the basic 2-3 and traps and all that stuff. I think you learn about the zone press first as a young kid, and then you learn about the zone defense."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 6,KYLE LOWRY,"But yes, if you're getting into the question of our zone, it's pretty cool."
