event,date,person,quote
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,BREANNA STEWART,"But just continuing to stick together, and I think also, the biggest thing behind it is like not getting too high or too low, you know. Things are going to seem bigger than what they are because they are playing at home, and I'm sure Minnesota said the same thing when they are playing here."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,BREANNA STEWART,"But yeah, we like to go on the road."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,SABRINA IONESCU,"Yeah, obviously I stayed up watching the game, not too late laughter."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,SABRINA IONESCU,"But it was a nail-biter. But I mean, after they won the way that they did, today I was like, yeah, I'm going to wear my Oregon shoes because I wanted to embody that tough, gritty win that they pulled off, which is probably one of the biggest wins that our program has had there."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,SABRINA IONESCU,"A lot of things didn't go right for them and they just continued to fight and stay together and grind out a really big win. I was like, all right, I want to bring that energy with me today on the court and kind of do the same thing."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,SABRINA IONESCU,So I think I'm going to wear the same shoes again on Wednesday.
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 13,SANDY BRONDELLO,Lucky shoes.
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,CHERYL REEVE,We are the first team in WNBA playoff history to be down 15 and come back and win the game. So that ranks really high.
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,CHERYL REEVE,"I think it defines our team in terms of being able to get through difficult times. That's what we say, we've been talking about, all these interviews we've been given, that's what we are talking about You have to be mentally tough and resilient. You have to look inward and not blame other people, and give each other confidence."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,CHERYL REEVE,"And we were that team. You know, thrilled that we could hang in there."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,COURTNEY WILLIAMS,"I mean, he believes in us like we believe in ourselves. I think we have such a tight-knit circle with our families involved as well, and we all know what we can do in that. We never give up."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,COURTNEY WILLIAMS,He embodies all of our families. They all believe that we can come back and we can win and we can stay composed and hopefully win. The basketball gods were on our side tonight.
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,COURTNEY WILLIAMS,"Honestly, whatever the folks want to call me, I'm with whatever. As long as they're showing love. If you show me love, you can call me whatever."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,COURTNEY WILLIAMS,"That's just a testament to how we believe in each other. We have so many great three-point shooters, and the fact that these girls are out here trying to get me the ball, I mean, I could cry. This is amazing. I love it."
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,October 10,COURTNEY WILLIAMS,"I say that all the time, and I don't say that for fun. These people I'm around, we believe in each other so much. It's crazy, man. I'm happy to be here."
