event,date,person,quote
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL PORTER JR,"Yeah, I think DA personally, I think he's an offensive wizard in my opinion just because he's shown us on film -- like showing us what's going to happen next game, and when we go and execute what he's showing us, it works out for us every time."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL PORTER JR,"We struggled with the Miami Heat's zone a couple games and he was showing us what to get into, what to do. Then Christian had that big game, all off cuts and just following what DA was saying."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL PORTER JR,"So I think offensively there's not much better that I've seen as far as offense, and that's why I think we have one of the best offenses historically. I think that's a big reason why."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL PORTER JR,"We love him over here, and if he didn't leave to go get a head coaching job, that's good for us."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,AARON GORDON,"Yeah, I mean, they had MPJ, Mal, Jok, Paul Millsap. We had dogs on this team already. It was kind of just like I felt like the missing piece a little bit. When I got traded here, I feel like we were on our way to a championship that year, and then a couple injuries happened and we don't get it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,AARON GORDON,"But now I feel like we're here, and the team is put together, the pieces all fit, and now you can see the puzzle."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL PORTER JR,"I think as a young basketball player, this is what you -- this is like the pinnacle of what you want to get to. I think any championship, whether it's high school, college, they all mean a lot, but to win a championship against the best players in the world, we've already played against some of the best players in the world in this playoff run on our way to be here, so to get this trophy, it's like a big thing you check off the list."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL PORTER JR,Like this is probably the biggest thing you could check off the list as a basketball player. I think we all kind of feel that way.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,AARON GORDON,"Well, just not breaking down on defense. I think in the one game where they shot a lot of threes and made a lot of threes, we had far too many breakdowns. I think if we execute the defensive game plan, we'll be fine."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"For me, appreciate Gallo. For me, the first person that reached out was Klay, in the X-ray room. That meant a lot to me. That helped me a lot. Understand that from the get-go, it's going to be a long journey. Just seeing his face in that moment, and you could tell he was still recovering from his injury and he was still hurt mentally. It just helped me a lot get through, knowing I'm going to be in a dark time. It's not going to be a cakewalk."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"Basically, a lot of guys did. It's hard for me to single out a few. But Gallo was one, all my old teammates."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"I'm just happy to be in this position, knowing that everything I did to rehab was solid."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"I think it's the realization, I think is one of the biggest things. Everybody talks about, don't want to miss an opportunity, or when you miss an opportunity, you're like, damn, that was a good opportunity for me to have."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"I just think, thinking about all the things I've done growing up, all the things I wanted to do growing up, being here is one of them. So I don't want to miss the opportunity. So like I said, knowing is not enough. It's good to know it and realize it, but you have to go out there and motivate yourself to do it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"For me, just keeping that mindset. All martial arts, not just basketball, all martial arts stuff helped me with life and navigate that way."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"It's long before we made it here that I thought this was going to happen. I had a belief of being in the playoffs before, having the experience, seeing the team and the chemistry grow, having the same core my whole career, that's when I saw it. That's when I believed it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"To be here just kind of rounds it out and shows that when we are given the right circumstances and everybody healthy, God willing, we can do it. I think when we're playing our best basketball, we are a very hard team to stop. I just see us playing like that for the majority of the time. Sticking together, even when we go through rough stretches, we're still in a good place."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,I've personally had that belief for a very long time. No new confidence for me.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"Yeah, their shooters are moving on every drive. Duncan is flying off both ways off Bam. Strus is not shooting well, but he's getting some good looks. So we can't keep giving these shooters good looks."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"We know they are going to make shots, but as long as we keep our discipline and don't give them the open stuff, I think we are in a good spot. We gave them a couple easy layups, easy dunks last game. We take those away, we take away a lot of life they have and kind of just shut down their offense."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,We're staying home with shooters and allowing AG to play one-on-one with Jimmy a lot. The same thing with Jok. It feels like we are planning to take away the three and they are still get something good looks.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"So I think we are just keeping our awareness up on drives and those hesitation situations, offensive rebounds, finding the shooters, getting back in transition. Just taking the easy ones away and knowing that if they are going to hit shots, it's going to be over a contested hand."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"No. Maybe one day in practice laughter, but no."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"He's very smart with his tactics. The way they front him or deny him. We don't really fight the pressure we both get. Just seeing him make quick decisions, if the pass is open, there's no hesitation. Even if he turns it over sometimes, he takes what the defense is giving him."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"Jokic is holding the ball for half a second longer and figuring it ou. He's been doing that for so long at all levels. He won his first MVP and his numbers were better than the second MVP, and his numbers are better during now."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"So, yeah, I think there's more to come, actually, from Jok. I think we haven't seen a side of Jok that we are going to see where he can be just pure dominance all the way, the whole game, even more than he has been."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"I don't know. I'd just say patience is key. Nothing happens overnight. I think we have done a great job, not just as a team but as an organization, sticking together, keeping each other up, motivating each other."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,JAMAL MURRAY,"We have got Stan and Josh in the locker rooms, win or loss, which means a lot. Just seeing everybody's faces. I still get messages from Tim. I get messages from Monte. Everybody is part of the journey and understands what we are about. It's just nice to see us be a big family and understand what it takes to win. But yeah, it's been a journey, a lot of fun. We have got more work to do."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"You know, they do a great job of just sticking to the system, whatever it is they do, whether it's defensively, offensively. You can definitely tell and have the feel of how much chemistry they have playing with each other, how well-coached they are, and no matter how things are going throughout the game, they just stick to what they do."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"That's a credit to them, just how well they continue to do it and how well mentally they are prepared no matter how the game is going."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"Yeah, it's definitely a different scout for sure. You get a different feel. For me personally I get a different feel out there, kind of being a little bit more of a priority, closing out, knowing where you're at, knowing when it's time to cut and those type of things."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"Like I said, that's part of them sticking to the system. They've done a great job of having a game plan and sticking to it."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"But that's what it's all about getting to this point of the season. They're going to make things difficult, and it's going to be our job to do the same on the other end. We've got to continue to find ways to find cracks whenever we can, and I think we do a great job."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,We'll have a great prep today and find better ways to be more effective on both ends.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"Yeah, you've got to find that balance between being aggressive but not forcing anything, as well. Like we were just talking about, I've kind of been in that role where you kind of take what is given, and they've done a great job of that."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"The opportunities I've had have been a lot lower because of how they defend and what their system looks like. It might be a series in a game where I have to be more assertive and be more creative and find ways to get my attempts up because I think, like you said, last series my attempts were pretty high, probably the highest they've ever been in my career."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"I think whenever I get -- have my attempts that high, I typically can be a pretty effective and efficient."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,I've definitely got to be more assertive but also within the offense. I'm a role guy. I've got to take what's given. But for sure I definitely need to find ways to be more assertive in that aspect for sure.
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"Yeah, I think that, like you said, naturally everybody looks to the stars to get us past that game and get us to the next one, but we're a group of guys who depend and lean on each other, and that's what makes our team so great and our stars so great, that they're so unselfish."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"The trust factor they have in the other guys like us on the team, it pumps confidence into us, and they understand how important and key of a piece that we can be to get us to the next game, as well."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"I think it's a collective thing to where we all understand we all need to elevate our games, and while also, like you said, the stars being the stars, and the role players gotta be stars in their roles."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"Yeah, I definitely get fuel while being disrespected. I felt like if someone doesn't believe I can do something, I typically find the best way possible to do it. That definitely gets my juices flying, like you said, especially airballing like 3 feet from the basket."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"I'm not Steph or nothing like that, but I don't think I'm airballing three feet from the rim. Yeah, we've got to find ways to continue to be aggressive and have those internal battles all the time to keep things going."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"Yeah, we're definitely getting great looks. They're doing a great job of taking some things away from us. But I think we'll have adjustments to find ways to get our guys going. That's their job, is to take away certain things, big muscle things for us. That's been in their favor. We've got to take advantage of that."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,CALEB MARTIN,"We're a great enough offensive team to where if you take something away, something has gotta give. We'll definitely find ways to be more impactful on that end for sure."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL MALONE,"Well, first off, it's real. That's been part of his upbringing through his father, Roger. Martial arts, the meditation, the visualization. That's allowed Jamal to get to this stage and perform at the level he's performing at. It's allowed him to recover from an injury that had him miss the last two postseasons."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL MALONE,"The most important aspect of all of that for me is it's genuine, it's real. Jamal believes in it and he practices it. That allows him to go out and use it to help his game, help his body and help his mind. Whatever is going to put him in the right frame of mind, I'm all for because we all see what he's doing out there on the biggest stage of the world."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL MALONE,"Well, I've long said that Jamal is not just a scorer. That's been my challenge to him. That should be an affront to him, that people just look at him as a scorer, because ever since he became a starting point guard, he is charged with the responsibility of running this team, making every one of his teammates better, on top of being an aggressive scorer looking for his shot, on top of being a rebounder at his size and physicality, as well as being an engaged defender."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL MALONE,"The challenge is always for you to be an All-Star and All-NBA player, and for you to be the guy that is, along with Nikola, putting this team on your back, it requires commitment and effort all across the board."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL MALONE,"I know that he's capable of making his teammates better. He's shown that in the past. I think it's just constantly striving to become the best version of yourself. Jamal is really committed to trying to be the best version. That's allowing him to be a historical player and allowing him to have that in his first four Finals games, whatever it is, is just incredible."
2023 - NBA FINALS: HEAT VS. NUGGETS,June 11,MICHAEL MALONE,Took off when I left. Thanks for reminding me laughter.
