event,date,person,quote
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"Depending on the teams that you're playing, you know the teams that want to shoot 40, 50 threes a game. You know the teams that want to shoot 25 to 30. You just have to do your scouting and be prepared for it."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I don't know, because when I came into the league, I didn't look at myself as the face of anything. I didn't look at myself as the next Michael or the successor to Michael."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"Being here. You still get that moment where I'm in the locker room looking at Steph, AD, KD, Kawhi, Joker, Luka all those guys. Those are just a few of the names. Those are the guys in the West. So you still have that feeling like, this is pretty cool."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I still at heart and like deep inside, I'm still like that 18-year-old kid that came into this league from Akron, Ohio, which is like you don't really have many inspirations. You've got to grab it from somebody, and it's usually like a family member or a basketball coach or a football coach or a teacher or somebody like that. It's not many people that make it on TV or make it to doing special things that you think is special."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"Yeah, I mean, I told myself before the season when I committed to being a part of the Olympic team, obviously it was all predicated on my health. As it stands right now, I am healthy enough to be on the team and perform at a level that I knew I could perform at."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"Like you said, there's still time left in the season, a third left in the regular season. Obviously, I don't know what the future holds as far as postseason, whatever the case may be. Like you said, it's 11 games, but it is 5 12 weeks, and it's more miles put on these tires."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I've always -- if I'm committed, which I am, to Team USA, then I'm going to commit my mind, body and soul to being out there for Team USA, being out there representing our country with the utmost respect and go out and play."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"But the one thing I know for sure, I don't have to carry the load. I've never had to carry the load on any one of the three teams I've been on, the '04 team, the '08 team and the '12 team. I just try to do my best and be as great as I can be on the floor in the minutes I'm out there."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I'm not sure right now what the full team is going to look like, but from some of the names, I know I don't have to feel any pressure going out there to feel like I have to carry the team. That's going to be a full 12-man roster that's capable of doing it both offensively and defensively on any given night versus any country in the world."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"First of all, it's expletive great to see you. It's so great to see you, Jeff Zillgitt. Love this. And the fact that you got the last question is even greater. You tried to hide in the back. I love that as well. Love you, man. Wow, it's great to see you."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"To your question, there's so much scoring in this league. You can't really put your hands on people too much. I think there's guys that have learned that ability to get to the free throw line very frequently out on the floor. You have guys shooting 20 -- I've seen guys shoot 15 to 20 threes in a game."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"We have some great scorers in this game, that when you see guys putting up 50s, 60s, 70s, it's like you're watching the game, you're like, oh, man, he either had a heater, he caught fire. You've seen guys this year scoring like 40 in the first half."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I don't know, you've got so many great talents in this league. Would I sit here and say I think guys can score 80 or 90? Yeah, why not? It's been done before. Talent is talent no matter what generation it is. '50s, '60s, '70s, '80s, '90s all the way until now, talent is talent, and great basketball and great scorers are going to be great scorers no matter what era they're in. Once a great scorer gets going, there's really nothing you can do."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I know you've asked this question before, and a lot of you guys have asked, what does it feel like to be in a zone? Once a guy's in a zone, there's nothing you can do. If a guy decides he wants to stay in the zone, or you've seen Caitlin the other night when she broke the record, there's nothing you can do. There's nothing you can do."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"If the game's flowing at a very good pace and you've got a heater from the midrange, you've got a heater from the free throw line, you're shooting threes, you shoot 15 threes, you make 10 of them, that's 30 right there. You go to the free throw line 15 times and make another 13, 14, that's 43 points right there. You could very easily make another 10, 12, 15 points from two-point land and just be at 60, 70, 80."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,"I think it's possible. I mean, we've seen Kobe. We've seen Kobe do it. Kobe -- obviously, I'm not going to put too many guys on Kobe's level, but when you have a hot streak, we've seen Kobe live put up 81. I think it could be done."
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,Of course you get a bonus question. You don't have to ask that. Of course.
2024 - ALL-STAR GAME,February 18,LEBRON JAMES,I am. I promise you.
2024 - ALL-STAR GAME,February 18,LeBRON JAMES,I'm feeling okay. I definitely wasn't going to put too much pressure on the game tonight for me physically. I want to try to be as healthy as I can be physically. This last part of the season is very important for us. I got to make sure of that.
2024 - ALL-STAR GAME,February 18,LeBRON JAMES,"It possibly could. It depends on the recovery process. So possibly, but we will see."
2024 - ALL-STAR GAME,February 18,LeBRON JAMES,"Still just my love for the game. I'm not pursuing anything, but my love for the game runs deep. Just trying to give everything I can to the game until I have nothing left, in the sense of just my love."
