event,date,person,quote,Positive?,Negative?,Team?,Individual?
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,16-Oct,SANDY BRONDELLO,"Yeah, I was really, really happy with Nyara. It was the plan to give her a few more extra minutes tonight. Stewie came in a little sooner because Stewie got two fouls early.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,16-Oct,SANDY BRONDELLO,"She played so hard. She was winded by the end of those seven minutes. We played her seven minutes in a row but she was so effective. Just the ability, they were being so aggressive, and what Nyara brings is she's always on her front foot getting downhill. She's always going to run the floor, just a hundred miles an hour, which is what we needed.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,16-Oct,SANDY BRONDELLO,"So it's been great to see her growth, and yeah, it was never in doubt there. But obviously I went to Slooty early, too, and I thought that changed the pace of the game. We struggled a little bit. Not often do I sit both of these at the same time, very rarely. But I felt like we needed to at that moment, and I think they gave us really good energy.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,16-Oct,SANDY BRONDELLO,"We got it back to ten after that first quarter, and I think that was the thing. We've got to keep grinding, keep grinding, and as the game went on, we got back to playing Liberty Basketball.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"I'm disappointed that we let it get to 17. I'm more disappointed in that. I'm more than disappointed, I'm pissed that that happened again.",,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"Sure, did.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,NAPHEESA COLLIER,It's hard. You have to adjust to the refs. Definitely it's not an excuse. We played really bad. I'm definitely not using that as an excuse.,,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,NAPHEESA COLLIER,But it's hard to adjust because you are playing one way and you are getting used to the refs and then they change it up. But that's not why we lost. It wasn't them. It was us. Can't blame that.,,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,It's been talked about a lot. This is a group that problem solves well together. They never think they are out of it. Their belief in themselves and their belief in each other is top-notch. And we know it's a long game. They are very experienced.,1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"We just knew what we had to clean up, get some things cleaned up and we did that then. Put ourselves in position, right where we wanted to be and just couldn't get over the hump.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,So it didn't affect us.,1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"Huge difference. So both games they have gotten help from part of their -- they have a big five, right, their starters are all very capable, just like our starters are all very capable and you need players beyond your stars, and for two games, they have done that. We're having trouble getting that consistently and we've got to have that.",,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,NAPHEESA COLLIER,"I mean, yeah, obviously you want to steal one on the road. We're really disappointed I think in how we played today but excited to go home and play in front of our crowd, and we have to respond. We have to come out playing better than we did in these two games.",,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,NAPHEESA COLLIER,I honestly don't feel like I changed my mindset. I feel like I stayed aggressive on defense. I was frustrated that I had those four fouls but I don't think it affected me in the way that I was playing.,,1,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"No, I happen to agree with you. I had a chance to talk to Joe Ingles, I don't know if I told Lan this when we were in Minnesota, and he asked me how I liked my Australian. And we talked about all the ways that we love the way that Lan plays and her level of compete, and that's what Joe said. He's like, one thing you're darned sure an Australian is going to do is compete their tails off.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"And Lan is the very definition of that. Doesn't matter how big, doesn't matter how difficult it is. Lan is always there for us in that way.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"We were trying to get another ball handler out there, somebody they had to pay attention to, try to get downhill a little bit, try to create some easier opportunities playing with flow. Setups weren't necessarily producing anything for us, so we just thought, spread the floor and play with two ball handlers.",,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"Well, I mean, what did she have at half, 12? Ten of them were in fast break. Ten of them were fast break. So what changed is she wasn't able to get it in the fast break and we had her in the halfcourt.",,1,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,I think Stewie is the same. I don't think making her missing a shot or free throw. We do this long enough that those things happen. She's resilient. She played exactly like we thought she would. I thought she played great in Game 1.,1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"And so you know, I think her impact defensively was something that we felt. You know, what did she have, seven steals? And so you know, she's been doing that in these playoffs.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"More than that, in my mind -- you have to ask Stewie, but I don't think that's what was on her mind. I think what was on their collective minds is it's a must-win game for them and they came out and played like it was, and they took the game.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"Yeah, but I think the opponent has a fair amount to do with it. We have to come up with better opportunities and better things that we can do offensively so that we can get back to a little bit more of a balanced scoring.",,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,So I think that's most important to say is New York has had a lot to do with this.,1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"You've got players that are playing a lot of minutes, a lot of heavy minutes, and any time you can get your bench to come in and be productive and you can keep them out there longer, that's an advantage.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"But I don't think either bench has been necessarily a separator. We talked about Hiedeman in the last game. She scored it. I think she had ten, right. So that was impactful.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,CHERYL REEVE,"But you know, both teams are looking for anywhere else you can go so that you don't have all this pressure on your top players.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,"What we continued to keep saying to one another was like stay together, keep playing. Every rebound matters. And even if our offense gets a little bit stagnant and funky, we are not going to let that dictate what we do defensively.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,SANDY BRONDELLO,"Yeah, massive. They have been going under on screens so we encouraged her to shoot the three. She's a great three-point shooter. She was stroking it yesterday in practice before the game.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,SANDY BRONDELLO,"Yeah, she was digging deep and that's what we needed. We knew we needed to bounce back and it was a big bounce-back game. They contained Leonie a little bit after what she did in Game 1 but B helped us get this margin to win the game.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,"Absolutely. Just like not letting history repeat itself and knowing that Game 1 happened but now, you know, how can we control Game 2 and I think that honestly the thought process was, we were trying to be up a little bit more. Like not letting them get to the three-point line to set up their offense. And then in to out, whether I'm helping, I know that Sab or whoever else is helping on my backside, and making them have to move just a little bit quicker than they want to.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,"I kind of texted him and I was like, you know what it's about time that you come to my game. I've been here for two years and he hasn't come down. What are you doing? Yeah, CD Dailey came and she got that same message, too.",,1,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,SANDY BRONDELLO,It's a long drive.,,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,Two hours.,,1,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,"I think what B brings is this grit, this toughness, knowing that -- and all of us know, she's giving us whatever she's got, and the way that she continued to be aggressive, they were going under on her and she knocked that thing down with confidence, got into the paint, drive and kicks.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,But that's what we're used to. We know she can do this and happy to see her get into a good rhythm with everything that's been up and down this season and know that she's a big factor in everything we do.,1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,BREANNA STEWART,"Obviously knowing her tendencies. She wants to go left, she wants to go over the right shoulder. She's going to pump fake a million times. So just staying down and making her continue to take tough shot that she doesn't want to take.",1,,,1
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,SABRINA IONESCU,"That's really what my goal was, was just take what the defense gives me and not forcing anything but understanding I'm going to be able to drive and kick. And players hit, multiple players hit really big shots. But obviously I think coming out like that was great for us to get going.",1,,1,
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK,13-Oct,SABRINA IONESCU,"And then in the second half, they made some adjustments and I think it was understanding being able to drive passing lanes and find the open man, if they are going to bring a few on the ball.",1,,1,
