event,date,person,quote,Positive?,Negative?,Team?,Individual?
2024 - NBA DRAFT,26-Jun,PACOME DADIET,"First, I would definitely say my brother, six years older. He was already playing basketball. But my first favorite player was probably KD.",1,,,1
2024 - NBA DRAFT,26-Jun,PACOME DADIET,"I think I'm really versatile, but I can also bring what a rookie needs to bring in a team. Bring some energy. Being able to grab a rebound, push the ball but also knock down shots. I think it's very important for a rookie to bring these things.",1,,,1
2024 - NBA DRAFT,26-Jun,PACOME DADIET,"I don't know anybody personally on the team. But I talked with the coach, yeah.",,1,,1
2024 - NBA DRAFT,26-Jun,PACOME DADIET,"And yeah, it was nice to see him. I'm used to seeing him on TV. It was a little different, but I enjoyed it.",1,,,1
2024 - NBA DRAFT,26-Jun,TRISTAN DA SILVA,"I'm going to continue it do that, and I feel like that's going to help everybody else on the floor as well.",1,,1,
2024 - NBA DRAFT,26-Jun,TRISTAN DA SILVA,"Right, to the efficiency point. I feel like that's huge for me, just because I like to play the right way. I feel like me playing the right way is me getting good shots, whether that's open shots or good layups at the rim. I feel like I'm just reading the game and adjusting to whatever the defense does. When I get a good look, it's more prone to go in than not.",1,,,1
2024 - NBA DRAFT,26-Jun,TRISTAN DA SILVA,"And then to your other point, hopefully we'll make it three. That would be really historic. Yeah, Colorado is not looked at as a draft pick-producing university like these other programs are. But if you look at the history, there's a lot of really, really solid players that have stuck around a long time in the league. It's just a testament to what Coach Boyle and his coaching staff have done at Colorado.",1,,1,
2024 - NBA DRAFT,26-Jun,TRISTAN DA SILVA,I'm excited to get to know them even more. We've got mutual friends. I've met them for the first time this past summer when my brother was playing on the national team and I went up there to Berlin to watch one of the games.,1,,,1
2024 - NBA DRAFT,26-Jun,TRISTAN DA SILVA,"But great people. They know my brother more than they know me, but they have already reached out to me through mutual friends. They make it very comforting to come to Orlando.",1,,1,
2024 - NBA DRAFT,26-Jun,ISAIAH COLLIER,"It's a blessing being here in the NBA Draft. One of many guys, and I'm just blessed to be in this space.",1,,1,
2024 - NBA DRAFT,26-Jun,ISAIAH COLLIER,I've never been to Utah. I don't think so.,,1,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"Yeah, I mean, I'm really proud of Steph, happy for Steph. As a freshman, for him to come in and do what he did, help lead that team to another national title, is something very hard to do as a freshman. I love that kid to death. I'm extremely happy for him, and I'll be his biggest fan this year.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,I just want to have an impact and try to help this organization win and get to the top and try to win championships.,1,,1,
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"I'm really excited. I feel the connection with some of these young guys I've watched since I was in high school. Scoot Henderson, in particular. I feel like we have a chance to do something really special.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"I'm young. Having a young team, just growing up around the same age, everyone learning and getting better every day, I'm really excited. I feel like I'm at a loss for words right now. I don't even know what else to say. I'm just excited and extremely blessed for this opportunity, and I'm really ready to get to Portland and get to work.",1,,1,
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"Being able to space the floor, knock down the three ball, playmake at a high level. I feel like I can handle the ball at the top of the key, pass the ball at a high level and I can shoot the ball at a high level.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,One thing about me is I want to be a great teammate. I want to be the best teammate. I want to be the best player that Coach wants to coach every day. Coach is happy about coaching him because he gives his all. I want to be that guy. I'm just ready to get to work.,1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"That was a really special moment. Like I said, I'm extremely blessed and grateful for everyone that has helped me to get to this point. I'm ready to get to work and ready to learn and ready to try to impact winning.",1,,1,
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"Yes, I just did.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"It was great. I like Coach a lot. When I went out there for my visit, he was a good dude, great dude. The whole staff, the whole organization, you can really tell people that want to learn and want to win and learn and get better. That's something -- that's what I'm about, and I'm really ready to go get going.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,Too young.,,1,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"Yeah, it just shows that we were the best program in college basketball and they still are right now. Coach Hurley is the best coach in college basketball, and he's producing players at a high level every single year.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,"I'm not sure the exact number of draft picks he's had these past five years, but Coach Hurley has been the top of the top in college for a couple years now. I love that man to death.",1,,,1
2024 - NBA DRAFT,26-Jun,DONOVAN CLINGAN,No. Just spend some time with some family. Soak everything in. Realize my life is going to change forever.,1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"I just can't wait to get out there and show my versatility, especially with the kind of talent that we already have on that team. It being the youngest team in the league right now, I feel like our future is pretty bright. I just can't wait to get out there.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"Yeah, definitely. Just being able to show my playmaking ability with such a great teammate like that. And just learning how to play off the ball at UConn, so being able to show that as well, especially with having a great teammate like Victor. Being able to set ball screens for him and cut in space when teams are trying to load up on him. Just trying to use all aspects of my game to just impact winning.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"It's really hard to prepare for that moment. I mean, it's just a lot of emotions running through your head, especially when you hear your name being called.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"But on the basketball side of things, just always keep your head down, always working. Just staying humble and just having all that self-confidence in myself that everything is going to work out.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,I was just playing for the best coach in college basketball and now flipping to the NBA and going to play for a legendary coach like Coach Pop. It's a blessing.,1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"On the culture side of things, it's not really a big culture change from UConn to San Antonio. Just being out there in the pre-draft process, you can tell it's a hardworking program and super hard-nosed. I just can't wait to go out there and just show what I got.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"Everything is just happening like really, really fast. Just being in the natty, soaking in that moment with my teammates, that's a super big accomplishment. And flip over to a couple months later and you another one of your teammates are top-10 picks. It really means the world to me and I wouldn't trade this for anything.",1,,1,
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"I just talked to him on the phone not too long ago. We were just talking about coming down to San Antonio and just can't wait to get to work, and just excited for our future and excited for this upcoming season.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"It means a lot. Me and D.C. have been through so much together. I was friends with him before I got to UConn, before I committed to UConn. I've known him forever now. I mean, I know how much he's been through.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"For that to happen, it's such a great reflection on our program and just it's a reflection on all the hard work that we've put in. It's really a blessing.",1,,1,
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"Nah, he didn't tell me that as soon as I got drafted. That's probably a conversations we'll have a little later.",,1,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,It's all good.,1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,That's a castle for my last name. This is a castle.,1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,And that's my initials right on the bottom.,1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,The last thing I'll do in probably just celebrate with my family. I was born here in New York. So I have a lot of family here at the draft. Just doing whatever I can to show how much appreciation I have toward them for all their support right before I go out to San Antonio and start my next journey.,1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,"Well, I mean, what I picked for the draft, it wasn't intentional. But I guess it all really worked out. I guess I kind of manifested it to happen for me.",1,,,1
2024 - NBA DRAFT,26-Jun,STEPHON CASTLE,But I wasn't really expecting anybody in particular to pick me. I didn't have any expectations. I was really open-minded to everything. I'm happy that it went the way that it did. I'm super blessed for the Spurs organization taking a chance on me and I just can't wait to get out there.,1,,,1
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"Oh, man, just want to thank God first, first and foremost, just for putting me in this position. I was ready to get ready to work. Coming in day one, do all the dirty work we need to do to win. I think I'm a winning player. I'm a win-now type of player, being one of the older guys in the draft. Just having that experience from college, and like I said, just doing all the dirty work, rebounding, diving on the floor for loose balls and just anything we need to do to win.",1,,,1
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"I would love to play alongside Malik Monk, De'Aaron Fox, I think we have a great big in Sabonis, probably one of best passers in the NBA from a big standpoint.",1,,1,
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"I'm just ready to be a two-way, versatile player. Get stops on one end, and I can also create some offense not only for myself but my teammates on the other end.",1,,,1
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"Yeah, I did work out for the Kings. Honestly, one of my better workouts, I believe. I think we had a very fantastic meeting with everybody who made the decision to draft me. Just very thankful for that.",1,,1,
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"Me and Coach Brown talked, how we see myself fitting in on the team, and just coachplayer talk. I think I got a good feel for Coach and he got a good feel for me. Just ready to start in journey.",1,,,1
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"It means everything. Just seeing his face whenever I got drafted, how happy he was, he didn't get a chance to get drafted. So just seeing his face and how excited he was for everything that we've been through, working out, countless hours throughout the night, morning. It's just a very special moment. Came up with handshake today and almost messed it up, but it's all right. We got it done.",1,,,1
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"Yeah, just me being confident, like I said, I know the type of player I am. I know what I bring to the court. I know I just wanted to give Kim the same promise he gave me when he first came to Providence, that he'll make me one of the better players in the conference. Just want to give him the same promise I got a seat for you at the green room table.",1,,,1
2024 - NBA DRAFT,26-Jun,DEVIN CARTER,"Just a mature, win-now, do-it-all type of player. Like I said, rebounding, dive on the floor, take charges, anything that is needed to do to win. Just very excited to play with some great players, and hopefully we can win a championship.",1,,,1
2024 - NBA DRAFT,26-Jun,BUB CARRINGTON,"I'm feeling about as good as you think I'd be feeling. It's a special feeling to finally be here and have my name called, and especially being so close to home. You know, that means a lot.",1,,,1
2024 - NBA DRAFT,26-Jun,BUB CARRINGTON,"It means a lot. Definitely because I would say when I was younger, I wasn't really like that in my area, and to now be sort of that guy that people want to see, especially being from the area and now back in the area. It means a lot to finally see all the stuff that I've done come to light.",1,,,1
2024 - NBA DRAFT,26-Jun,BUB CARRINGTON,I haven't even touched my phone yet.,,1,,1
2024 - NBA DRAFT,26-Jun,BUB CARRINGTON,"Definitely. Yeah, I'm pretty sure he has texted me already.",1,,,1
2024 - NBA DRAFT,26-Jun,BUB CARRINGTON,"For sure, yeah, he ain't got no choice.",1,,,1
2024 - NBA DRAFT,26-Jun,BUB CARRINGTON,"I would say the biggest adjustment would be how they game plan. It's real strategic for the league. I'm starting to see that working out for all these different teams. They have a real game plan and strategy going into every single game, and if you don't execute it, you can't play. I feel like that's something I'm going to have to get adjusted to.",1,,1,
2024 - NBA DRAFT,26-Jun,MATAS BUZELIS,Feeling good. Super blessed. I'm ready to work. I'm going to give the Bulls organization everything I've got.,1,,,1
2024 - NBA DRAFT,26-Jun,MATAS BUZELIS,"Super excited, man. I mean, this is a dream come true. I've been thinking about this since a young age. It means the world to me.",1,,,1
2024 - NBA DRAFT,26-Jun,MATAS BUZELIS,"I'll dress well, but I'm worried about basketball. I'm not really worried about that. I want to win.",1,,,1
2024 - NBA DRAFT,26-Jun,MATAS BUZELIS,"Chicago is a winning program and I want to win. So being there, I can embrace it. I fit many different ways on the team. I feel like I can do everything on the court. Whatever Coach asks me to do, I'm going to do to the best of my abilities and I'm going to work hard.",1,,,1
2024 - NBA DRAFT,26-Jun,MATAS BUZELIS,See my family. That's it.,1,,,1
2024 - NBA DRAFT,26-Jun,MATAS BUZELIS,"The program did an amazing job, even when they had the shutdown. Look at all the picks that they had. Everyone is good. All the coaches are amazing. They did a great job with everyone that they produced. I can't thank them enough, honestly. I would do it ten times over again.",1,,1,
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"It was amazing, amazing to be able to be in this position. After everything that happened last year with me and the injury and everything, you learn more to appreciate and cherish the moments and opportunity you're given. Tonight was one of those times where you just realize being in a locker room full of some greats in the NBA and the best players in the world and be able to be out here and be able to represent my country and my organization, I just wanted to cherish this moment and make the most of it.",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,I didn't know it was going to be 50. I thought maybe it was going to be more like 15. But God is good. It's Sunday. I'm blessed to be in this situation.,1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"It's great. Like I said, it's a huge honor. It's all because of my teammates. My teammates tonight kept finding me and passing me the ball.",1,,1,
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"I just was trying, like I said, to take advantage of the opportunity and make some shots. I wish I could have made a little more, but beggars can't be choosers on a night like this.",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"Indy is great. Indy is such a pinnacle of basketball. I had such love for Indy watching them. For me growing up, Reggie Miller was the guy that just was electric to me, especially his shooting. So to be able to be in the house that Reggie Miller, Larry Bird, Jermaine O'Neal, Ron Artest -- you know, we could keep going down the list. Even people like Monta Ellis, I want to give a shoutout to.",1,,1,
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"To be in the building where they had historical moments, it's really special.",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"Absolutely. Like I told him on the court, GOAT. He's one of those guys that probably will never come again. The talent, his ability to overcome all adversity and his ability to exceed people's expectations. Just tremendous respect for LeBron, tremendous respect for what he's done and the impact he's had on the game of basketball.",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"I'm just -- it's crazy. I'm just blessed to be with -- I have no kids, but I tell my niece and my nephew that they get to see their uncle playing with LeBron James, it's a really cool experience for those children to have those childhood memories.",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"I knew I had a lot, but I knew Ant was the one as always -- it's always Ant -- was looking at me saying -- he was breaking down the points to me on the bench. I knew it was something special because even Steph got up and was like, Get 50! Get 50!",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"I hadn't been shooting the three ball well all night, but when I needed them to go in, they definitely did. God was good. I just was honored to be in the moment. I definitely tried to go the reverse through the legs. I couldn't make it in the All-Star Game, but I made it in a real game. Kind of funny how I did that.",1,,,1
2024 - ALL-STAR GAME,18-Feb,KARL-ANTHONY TOWNS,"I've really got to say, I think it was great coaching. The play calls and stuff like that, they're fantastic. I would love possibly one day to be able to play for this coaching staff if everything lines up.",1,,,1
2024 - ALL-STAR GAME,18-Feb,JAYSON TATUM,"I remember I was standing there like I never met Larry Bird. I've never been in the same room with him. As crazy as it sounds, it's never worked out.",1,,,1
2024 - ALL-STAR GAME,18-Feb,JAYSON TATUM,"So Taylor, our PR girl, saw him before -- I was sitting on the sidelines, and she grabbed me. She was like, He's over there. I got a chance to go meet him and tell him how much of an honor it was to meet him. He told me he was looking forward to meeting me. So that was crazy to hear him say that.",1,,,1
2024 - ALL-STAR GAME,18-Feb,JAYSON TATUM,"He's a lot taller than I thought he was. But obviously what he means to the game, what he means to the city of Boston and the Celtics, he's the ultimate Celtic. It was an honor to meet him.",1,,,1
2024 - ALL-STAR GAME,18-Feb,JAYSON TATUM,"All-Star Weekend is special, and it's always more special when you get to share it with a teammate or two. I've been fortunate enough to share it with him three times now. It was great. It was great to have a teammate, familiar face around, especially we get to share the same locker room.",1,,,1
2024 - ALL-STAR GAME,18-Feb,JAYSON TATUM,"It's a special weekend for us, for our families, obviously for our team, the Celtics. So it's always great.",1,,1,
