event                                     , date  , person                 , quote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Annotator 1 Sentiment, Annotator 1 Group, Annotator 2 Sentiment, Annotator 2 Group, Annotator 3 Sentiment, Annotator 3 Group
2024 - ALL-STAR GAME                      , 18-Feb, SHAI GILGEOUS-ALEXANDER, "Yeah, for sure. I think we're starting to kind of see others take notice of us. We knew that was going to happen once we started winning games. It comes with the territory."                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "'26 is definitely our goal for certainly the next one, and then shortly thereafter, if not then, or a year or two after. So by '28, I'd say I'd feel pretty confident we'll be at 16 teams."                                                                                                                                                                                                                                                                                                                                                                                                                     ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "I for one feel incredibly blessed to be part of it and to lead the longest-tenured women's professional sports league in the United States that is leading the charge for women's sports. This is a league where -- you all know that cover us year-round -- the talent is exceptional, the rivalries are intense and where you tune in to watch a lot of games of consequence."                                                                                                                                                                                                                                 ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, CODY WILLIAMS          , Most definitely. We're going to talk crazy during that tame. I'll tell you right now.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, NIKA MUHL              , "But I feel the same. I feel eager to learn. I feel eager to be challenged and eager to fail and rise up, and I feel like that coaching staff and that team will do it for me."                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "I think the players, the players deserve all the credit for the show that we are being treated to. I thought both teams played well. It was a good game. Obviously both teams, things you can point to -- you wish you made a layup or you wish you didn't do this or that. That's the way a game always is."                                                                                                                                                                                                                                                                                                    ,                     0,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, NAPHEESA COLLIER       , "Again, they are great offensive players. They are going to make plays. I just have to make it as hard as I can."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                     0,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CATHY ENGELBERT        , "Now, the NBA investments by those players is in independent teams, not in NBA-affiliated teams. So if you're still playing for an NBA team, you probably want to invest in the WNBA team with your affiliate, and you can't do that until you graduate, I'll call it, or retire from basketball. So we have a lot of interest from that perspective."                                                                                                                                                                                                                                                            ,                     0,                 1,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, AALIYAH EDWARDS        , "Oh, my gosh, it's great. The Bleed Blue bleeds all the way into the league. I'm just very fortunate to be given the opportunity to go to UConn and spend my four years there, but especially spend my four years there with Nika. We had a hug when my name was called. It's just a lot because the people and the relationships you build over this beautiful game that we play, it's amazing, and to share this moment with her and Coach and CD Chris Dailey and J Jamelle Elliott and Mo Morgan Valley, and Paige and Azzi were in the audience, too, it's a family. I'm hoping to make a new family in D.C.",                     1,                 1,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, KEVIN DURANT           , "It's just a testament to the hard work and the enthusiasm he has for the game of basketball. Obviously, multitalented at everything on the floor. But I think anybody in any walk of life could pick up on his love and care for the game of basketball, his teammates and just helping to push the game forward."                                                                                                                                                                                                                                                                                               ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, KEL'EL WARE            , "All of them are hardworking. They push their players past their limits. I feel like that's the best place for me. Especially with me going there, I know they are going to push me past my limits, push me past that wall to be the best player that I can be and compete."                                                                                                                                                                                                                                                                                                                                      ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "BAM is actually America's oldest performing arts center, hosting some of the brightest talents across a wide range of concentrations since 1861. Tonight, BAM hosts some of the brightest talents in basketball."                                                                                                                                                                                                                                                                                                                                                                                                ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CATHY ENGELBERT        , "But I know it's a passionate issue. Every fan group -- I love when I go into market and every fan group I meet with, they usually wait and ask it as the last question of the night. But they do ask about officiating, which I appreciate the passion for that."                                                                                                                                                                                                                                                                                                                                                ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, TRISTAN DA SILVA       , "I feel like I fit in great. I'm going to make sure that I get myself adjusted to whatever the team needs, whatever the players on that team need for us to be successful. With my high IQ and my versatility, I feel like there's a lot of different spots that I can fill and a lot of different needs I can address."                                                                                                                                                                                                                                                                                          ,                     1,                 0,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, GIANNIS ANTETOKOUNMPO  , "Mostly in the past I kind of kept my kids out of the spotlight, to allow them to choose this life for themselves and not this life choose them. Whenever they can understand and want to jump into the spotlight, great, but I wanted that to be their decision. But I feel like that kind of created a disconnect between me and my kids. Like when I was on the basketball court, I kind of stayed away."                                                                                                                                                                                                      ,                     0,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, BONES HYLAND           , "Really good. Ty is a good dude. Stays in my ear, tells me to keep going out there and be myself."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, JA'KOBE WALTER         , Me being the next one out is a blessing from God. I'm just super grateful to be in this position and I hope that I'm going to represent Baylor well.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, SANDY BRONDELLO        , "I just thought, when we play like that, with the pace that we went out and just the effort and the energy we put into the defensive side with the scramble and the help, good things happen. It was just more about staying persistent."                                                                                                                                                                                                                                                                                                                                                                         ,                     1,                 1,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, KEVIN DURANT           , "I just want to keep being available every day, keep adding to what I did already. I never go into any day trying to accomplish anything. I just put the work in, and whatever happens, happens."                                                                                                                                                                                                                                                                                                                                                                                                                 ,                     0,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, RICKEA JACKSON         , "Yeah, I feel like I'm looking into them pouring into me, and I'm doing the same on and off the court."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, NYADIEW PUOCH          , "I'm very excited. Obviously playing in a different league and then coming into another one is great. The lifestyle, the people you play against, what we learn in the game here is obviously a bit different, so getting to learn that, playing against people, taking things from them, what I can add into my game."                                                                                                                                                                                                                                                                                           ,                     1,                 0,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, DONOVAN MITCHELL       , I actually did it because Bron be doing it. Bron was in front of me. I thought let's just try it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, SANDY BRONDELLO        , "Yeah, it's probably a lot of things. I could probably give you a better answer tomorrow. I just thought we went away from our principles of play. I think we had a great first quarter, and then they lifted up the energy and they outhustled us."                                                                                                                                                                                                                                                                                                                                                              ,                     0,                 1,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "Expansion draft, again, we're not going to share exact details on the expansion draft today. But it'll happen this year, this calendar year, so probably in December because it has to happen before the college draft. That expansion draft, we'll share more details as we get closer to that. We've been talking with our general managers and head coaches and the teams and the owners, so more to come on that. But there will be an expansion draft this year, and it'll probably be in December."                                                                                                        ,                     1,                 1,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LEBRON JAMES           , "I think as a kid growing up and loving the game of basketball and watching the NBA All-Star Weekend and seeing the Sunday game, I always had dreams and visions if I was able to play the game at a high level and give everything to the game, hopefully I could be a part of that game someday."                                                                                                                                                                                                                                                                                                               ,                     1,                 0,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, SHAI GILGEOUS-ALEXANDER, "I don't think it's a message to the rest of the league. I think it's a mentality, almost like a message to ourselves that the job's not finished, not even close. We're a little bit more than halfway through the season."                                                                                                                                                                                                                                                                                                                                                                                      ,                     0,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, SABRINA IONESCU        , So I think I'm going to wear the same shoes again on Wednesday.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "Again, I just want to thank you all. Again, for those that are new to this league, watch, rep, buy, attend. It's an amazing game on the court, and I probably wouldn't have taken this job if it wasn't. I really appreciate all your support. Thank you. Enjoy tonight."                                                                                                                                                                                                                                                                                                                                        ,                     1,                 0,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, SANDY BRONDELLO        , "So it will definitely be another sellout, and it will definitely be loud. And we have to bring our ""A"" game."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                     1,                 1,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CATHY ENGELBERT        , "I think on balance, I think we all want to grow the game globally. I think it's going to come down to footprints and seasons and how we can do it, which is why most of what we're doing in expanding our season will be on the back end."                                                                                                                                                                                                                                                                                                                                                                       ,                     1,                 1,                      ,                  ,                      , 
