,event,date,person,quote,Positive?,Negative?,Team?,Individual?
18,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Yeah, it's special. I think taking that fifth year was something I thought long and hard about and I'm glad I did. A lot of good things came from it. Obviously having Emmy next to me it makes everything easier and that much more special. She's had a huge impact on me and everyone at Ohio State, and it's been really cool to see.",1.0,,1.0,
19,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"She's everything to me. She's my why. She's why I do it, why me and my brother work so hard at it. She's special, and I really hope so. I know it'll be a little harder for them to travel, but I feel like absolutely they'll make it to some games.",1.0,,1.0,
20,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Yeah, it's a surreal moment because I grew up as a little kid watching all these women play and how talented they are and being able to have a chance to play with them and compete against them, it's a dream. It's what we all are here for, and it's what we're looking forward to.",1.0,,,1.0
21,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Absolutely. I think that's something that's really big in today's world, especially with our class. It's exciting just to have those opportunities as women athletes. I think that's something that is kind of new to us, and it's exciting and it's absolutely something people should take advantage of. To be honest, I'm just ready to go play ball down there right now.",1.0,,1.0,
22,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Yeah, I think there's going to be an adjustment period for all of us, whether people want to admit it or not. I'm looking forward to it and welcoming it. As a rookie I think that's something you have to accept and be ready for.",1.0,,,1.0
23,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"The pace, the length, I'm sure there's going to be a lot of things that are a little different and it'll take some time to get used to, but I'm welcoming that challenge and looking forward to it.",1.0,,,1.0
24,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Yeah, I've gotten a lot. I've gotten to spend some time with some vets the past couple days and they've been really helpful. Just staying confident with who you are and what you do well is something that I took from them just a couple days ago. But I think that's important because when you're good at something, you can excel in that area and really keying in on that and taking that with you to the next level is definitely something I'll take from them.",1.0,,,1.0
25,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"I'm excited to play with everyone, to be honest on that team. Like I said, I grew up watching them, and I think being able to play with them now and getting that opportunity is something that, like I said, was a dream. They're a really talented group, and I know they're going to push me day one when I get there, so I'm excited for that.",1.0,,1.0,
26,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Competing really against everyone. The league is -- the talent, you guys have seen it and it's no joke and it's something I'm looking forward to and excited for, and like I said, there will be an adjustment, but I'm super excited.",1.0,,,1.0
27,2024 - WNBA DRAFT,15-Apr,JACY SHELDON,"Yeah, we've had really good discussions. Coach is awesome and just being able to talk about their system and how they like to do things there was awesome for me to learn, and I'm sure I'll be having more conversations soon, but like I said, they've been really good, and I'm looking forward to talking to them more.",1.0,,1.0,
